user_snippet,x-axis__sum_values,x-axis__median,x-axis__mean,x-axis__length,x-axis__standard_deviation,x-axis__variance,x-axis__root_mean_square,x-axis__maximum,x-axis__absolute_maximum,x-axis__minimum,y-axis__sum_values,y-axis__median,y-axis__mean,y-axis__length,y-axis__standard_deviation,y-axis__variance,y-axis__root_mean_square,y-axis__maximum,y-axis__absolute_maximum,y-axis__minimum,z-axis__sum_values,z-axis__median,z-axis__mean,z-axis__length,z-axis__standard_deviation,z-axis__variance,z-axis__root_mean_square,z-axis__maximum,z-axis__absolute_maximum,z-axis__minimum,activity
525_13,-122.71000000000001,-0.9299999999999999,-1.2271,100.0,2.526457715854354,6.382988590000001,2.8086941805757353,5.9,9.0,-9.0,1019.41,10.094999999999999,10.194099999999999,100.0,3.3851136155231187,11.45899419,10.741446317884757,17.12,17.12,4.21,-2.9828567000000015,-0.88532263,-0.029828567000000014,100.0,3.059686577489139,9.3616819524672,3.059831971837093,10.800936,10.800936,-6.1700177,Walking
525_14,-150.76,-0.84,-1.5075999999999998,100.0,2.8920671223192587,8.364052239999998,3.2614276015266688,4.37,11.92,-11.92,999.69,9.28,9.9969,100.0,3.363593226001027,11.313759389999998,10.547595413173562,17.39,17.39,4.52,65.71817695,-0.50395286,0.6571817695,100.0,3.549620635592689,12.599806656625447,3.609943840946642,12.258313,12.258313,-4.0180025,Walking
525_15,860.62,8.885,8.6062,100.0,3.3878771465329147,11.477711560000003,9.249021029276559,16.93,16.93,-3.11,231.54,1.99,2.3154,100.0,2.2155461719404537,4.908644839999999,3.2046406974885655,9.11,9.11,-2.07,330.93358929399994,2.8534628,3.3093358929399996,100.0,3.081196908038681,9.493774386107127,4.521667661207324,11.073342,11.073342,-6.782933,Upstairs
525_16,584.81,5.48,5.8481,100.0,2.7744501058768383,7.69757339,6.472854625279328,11.54,11.54,0.53,810.86,8.18,8.108600000000001,100.0,2.90031033511933,8.41180004,8.61168938130028,14.18,14.18,2.37,49.45548169600001,-0.21111539,0.4945548169600001,100.0,3.4074025042896148,11.610391826239137,3.4431056174938175,12.871228,12.871228,-5.012288,Walking
525_17,-284.5900000000001,-2.045,-2.8459000000000008,100.0,4.725629925205738,22.331578189999995,5.51640507939727,5.18,13.57,-13.57,801.6,7.725,8.016,100.0,7.077180370740879,50.086482000000004,10.693116383917273,19.57,19.57,-5.37,-12.809999999999999,-0.05499999999999999,-0.1281,100.0,3.4543655553516626,11.93264139,3.4567399381498176,6.97,11.88,-11.88,Jogging
525_18,-116.43,-0.855,-1.1643000000000001,100.0,2.364129122954159,5.589106510000001,2.6352800610181837,3.95,7.65,-7.65,1003.7700000000001,10.515,10.037700000000001,100.0,3.6418769487724325,13.263267710000004,10.677953408776421,16.82,16.82,0.93,72.66455322799999,-0.19068487,0.7266455322799998,100.0,3.273175204808743,10.713675921374758,3.3528629036924915,12.258313,12.258313,-4.099725,Walking
525_19,59.480000000000004,1.13,0.5948,100.0,4.788457889550664,22.92932896,4.825258127810367,13.63,13.63,-11.8,847.04,8.45,8.4704,100.0,7.59311726763126,57.655429840000004,11.375548602155416,19.53,19.53,-6.47,125.22,1.42,1.2522,100.0,2.62377231481697,6.884181160000001,2.9072643498656947,8.28,8.28,-6.02,Jogging
525_20,-408.96,-3.775,-4.0896,100.0,2.6354896774603387,6.945805839999999,4.8652475784897105,2.79,10.61,-10.61,851.97,8.43,8.5197,100.0,3.667307855907382,13.44914691,9.275474920455554,19.08,19.08,-3.41,141.365588306,0.824031065,1.4136558830600001,100.0,2.9974287053468847,8.984578843637502,3.3140612244416445,10.882658,10.882658,-5.284695,Upstairs
525_21,-123.79,-1.28,-1.2379,100.0,3.8768444113737663,15.029922590000004,4.0696829114809425,9.15,10.95,-10.95,759.0900000000003,7.8549999999999995,7.590900000000002,100.0,7.184432767449356,51.616074190000006,10.45169062879303,19.57,19.57,-6.85,-361.6,-2.83,-3.616,100.0,3.3487260264166134,11.213966000000001,4.928429973125316,3.76,14.98,-14.98,Jogging
525_22,546.14,5.4399999999999995,5.4614,100.0,2.5330223133640173,6.416202039999998,6.020223583887894,11.37,11.37,-0.5,814.43,8.24,8.1443,100.0,2.8604839642969506,8.182368509999998,8.632032842847623,13.72,13.72,2.3,156.456934526,0.7286886,1.56456934526,100.0,3.6389387247036526,13.241875042147845,3.9610291943225,12.721405,12.721405,-3.6774938,Walking
525_23,-137.04000000000002,-1.15,-1.3704000000000003,100.0,2.3916303727792054,5.71989584,2.7564273979192704,3.68,11.41,-11.41,1016.02,10.8,10.1602,100.0,3.645122489025575,13.286917960000004,10.794284691446675,17.86,17.86,3.87,71.016491646,-0.36093922,0.71016491646,100.0,3.1478942566633847,9.909238251134322,3.227006733755751,10.528529,10.528529,-3.7864566,Walking
525_24,586.31,5.71,5.863099999999999,100.0,2.266106659007912,5.135239390000001,6.28579199464952,11.03,11.03,0.57,807.9300000000001,7.800000000000001,8.0793,100.0,2.507565454778798,6.2878845100000005,8.45949011465821,13.76,13.76,3.53,86.73437553,0.170254345,0.8673437553,100.0,3.58338840751256,12.840672479095401,3.6868628492192803,13.593107,13.593107,-4.399372,Walking
525_25,-258.8,-2.01,-2.588,100.0,4.487207149218765,20.135028,5.180035907211455,7.86,15.05,-15.05,805.19,8.43,8.0519,100.0,6.42971332098096,41.34121339,10.30409176007279,19.57,19.57,-3.64,-204.32,-1.08,-2.0432,100.0,3.0174459000949794,9.104979759999999,3.644124860648987,2.34,12.64,-12.64,Jogging
525_26,858.81,8.925,8.588099999999999,100.0,3.65692840919808,13.37312539,9.334269494716766,19.04,19.04,-3.53,265.78999999999996,2.15,2.6578999999999997,100.0,2.266883011979224,5.138758589999998,3.4933065997704813,13.18,13.18,-0.69,300.301427534,2.54700505,3.0030142753400004,100.0,3.6028106127931423,12.980244311654896,4.690238698568626,18.578154,18.578154,-3.255263,Upstairs
525_27,-76.61,-0.78,-0.7661,100.0,2.99271478594269,8.95634179,3.089215272524723,10.0,10.0,-10.0,850.5,7.59,8.505,100.0,7.045561368691639,49.63993500000001,11.044227451478895,19.57,19.57,-3.57,-282.71,-2.07,-2.8270999999999997,100.0,2.7982184671679944,7.830026589999999,3.9777532603217103,0.69,11.95,-11.95,Jogging
525_28,-267.12999999999994,-3.025,-2.6712999999999996,100.0,4.661082203737668,21.725687309999994,5.372292899684455,10.27,15.62,-15.62,825.5300000000001,8.635,8.2553,100.0,6.80088780307395,46.25207491000001,10.695889537574702,19.57,19.57,-3.15,-220.40999999999997,-1.6099999999999999,-2.2040999999999995,100.0,3.035423560230104,9.21379619,3.751246859378892,3.87,13.91,-13.91,Jogging
525_29,-117.55000000000001,-0.89,-1.1755000000000002,100.0,2.6505698915516263,7.025520749999999,2.899538066658205,4.75,11.5,-11.5,1018.39,10.1,10.1839,100.0,3.610217692882245,13.033671789999998,10.804882738836179,17.05,17.05,3.57,64.34252008,-0.21111539,0.6434252008,100.0,3.7182057872048526,13.825054276003659,3.773466611092269,13.443283,13.443283,-5.8976107,Walking
525_30,582.47,5.574999999999999,5.8247,100.0,2.867114038541195,8.220342910000001,6.492108517269254,11.54,11.54,-2.34,819.2299999999999,8.254999999999999,8.1923,100.0,3.068737478182192,9.41714971,8.748195756840378,14.18,14.18,2.3,162.64057208399998,0.40180026,1.6264057208399998,100.0,3.95346969874578,15.62992265890105,4.274940727972977,14.9006605,14.9006605,-3.5276701,Walking
525_31,555.8400000000001,5.77,5.558400000000002,100.0,3.0123893241080246,9.07448944,6.322206893166341,11.8,11.8,-3.21,848.9000000000001,8.92,8.489,100.0,3.099952096404072,9.609703,9.037301809721749,14.6,14.6,1.99,144.63447092,0.5720546,1.4463447092000001,100.0,3.3000057030555507,10.89003764019916,3.603047412681381,11.223166,11.223166,-4.3312707,Walking
525_32,-269.32000000000005,-2.1849999999999996,-2.6932000000000005,100.0,4.080512438407706,16.65058176,4.889162300435525,6.55,12.18,-12.18,806.8800000000002,7.62,8.068800000000003,100.0,7.553005134381944,57.047886560000016,11.052303832233351,19.57,19.57,-5.82,-255.10999999999999,-1.78,-2.5511,100.0,3.150571026020521,9.926097789999998,4.053912801232903,2.91,13.48,-13.48,Jogging
525_33,-256.13999999999993,-2.415,-2.5613999999999995,100.0,4.653728616926432,21.65719004,5.31205798161127,9.23,15.62,-15.62,827.3900000000001,8.02,8.273900000000001,100.0,6.915683320540349,47.82667578999999,10.78351042100855,19.57,19.57,-4.44,-246.79999999999995,-1.9,-2.4679999999999995,100.0,3.0431924027244808,9.261019999999998,3.9181684496713514,2.49,12.3,-12.3,Jogging
525_34,-76.83,-0.28500000000000003,-0.7683,100.0,2.5461771560517934,6.48301811,2.6595681980351626,3.49,11.88,-11.88,1017.9300000000001,9.45,10.179300000000001,100.0,3.5930692325642712,12.910146510000002,10.794827233448435,18.43,18.43,4.33,-12.380895079999998,-1.2258313,-0.12380895079999998,100.0,3.3016369461375628,10.900806524100572,3.303957502813674,10.501288,10.501288,-4.5628166,Walking
525_35,-134.47,-1.0350000000000001,-1.3447,100.0,2.9149615623537817,8.497000909999999,3.210174294333565,6.17,12.07,-12.07,1001.4,10.53,10.014,100.0,3.7299576405101442,13.912584000000003,10.686102189292408,17.24,17.24,3.38,35.875993936,-0.32007818,0.35875993936,100.0,3.031284299772882,9.188684506049572,3.0524405317940535,12.108489,12.108489,-3.8681788,Walking
525_36,175.50999999999996,1.16,1.7550999999999997,100.0,2.0699306727521094,4.28461299,2.713851322383008,10.0,10.0,-0.99,-937.0500000000001,-8.47,-9.3705,100.0,5.251649716993699,27.579824749999997,10.741791982718713,0.11,19.61,-19.61,125.32081850399999,0.92618364,1.2532081850399999,100.0,2.287639882234143,5.233296230788243,2.60841464990509,7.668256,7.668256,-4.0588636,Downstairs
525_37,-104.93000000000002,-0.665,-1.0493000000000001,100.0,2.606406052402426,6.793352509999998,2.809694467375412,4.37,10.0,-10.0,1014.35,10.55,10.1435,100.0,3.6998852347066116,13.68915075,10.797209963689692,17.5,17.5,3.38,40.970005278,-0.6742072,0.40970005278000005,100.0,3.245919858624173,10.535995728610771,3.271673862391957,11.34575,11.34575,-3.3642259,Walking
525_38,-126.65,-0.6299999999999999,-1.2665,100.0,2.496170016244887,6.23086475,2.7990868153738995,3.06,9.58,-9.58,1005.53,10.9,10.055299999999999,100.0,3.8749057936935705,15.01489491,10.776082451429183,18.47,18.47,0.65,47.099161448000004,-0.020430523,0.47099161448000004,100.0,3.661715503561946,13.408160429025914,3.6918821121396044,10.460427,10.460427,-5.9793324,Walking
525_39,508.88,4.385,5.0888,100.0,3.91877998361735,15.35683656,6.42282819324945,17.31,17.31,-2.41,796.2900000000001,7.35,7.962900000000001,100.0,5.230703641958699,27.36026059,9.52722609157566,19.15,19.15,-0.91,162.20472191000002,1.11005835,1.6220472191000002,100.0,1.6578398433286188,2.748432946127859,2.319368475925699,9.112013,9.112013,-2.2201166,Downstairs
525_40,-211.68999999999994,-1.92,-2.1168999999999993,100.0,4.612539364601672,21.27551939,5.075114284427495,8.69,14.25,-14.25,789.7800000000001,8.254999999999999,7.897800000000001,100.0,6.799274752501182,46.23013716000001,10.42139059818794,19.57,19.57,-4.02,-255.35000000000005,-1.31,-2.5535000000000005,100.0,3.5422166435722136,12.54729875,4.366653295144921,2.45,12.18,-12.18,Jogging
525_41,-301.87999999999994,-2.34,-3.0187999999999993,100.0,4.597864347716231,21.140356560000004,5.500319081653354,5.48,14.1,-14.1,844.0799999999999,9.309999999999999,8.4408,100.0,7.297308364047664,53.25070936,11.15785884477842,19.57,19.57,-6.82,-265.65,-1.88,-2.6565,100.0,2.821656384111999,7.96174475,3.8754015275839486,2.41,11.37,-11.37,Jogging
525_42,-817.7599999999999,-7.62,-8.177599999999998,100.0,2.8644469344011245,8.20505624,8.664767625274207,-3.57,14.63,-14.63,442.46999999999997,4.63,4.4247,100.0,1.8461145441169136,3.40813891,4.7943830677158035,7.78,7.78,0.5,254.97290850000005,2.6832085,2.5497290850000005,100.0,1.514076714735174,2.292428298103257,2.9653914927034837,6.238119,6.238119,-1.2258313,Walking
525_43,-313.69999999999993,-3.02,-3.136999999999999,100.0,5.114216557792601,26.155211000000005,5.9996649906473944,7.21,15.75,-15.75,797.3299999999999,6.5649999999999995,7.973299999999999,100.0,7.0298705613972725,49.41908011,10.629797411051634,19.57,19.57,-5.79,57.199999999999996,1.04,0.572,100.0,3.1641864673245794,10.012076,3.2154719715774234,7.5,10.99,-10.99,Jogging
525_44,-252.26,-2.355,-2.5225999999999997,100.0,4.139523552294394,17.13565524,4.847593836121174,7.86,11.88,-11.88,823.6099999999999,8.065,8.236099999999999,100.0,7.032307572198474,49.45334978999999,10.82989810663055,19.53,19.53,-5.43,-255.57,-1.73,-2.5557,100.0,2.8864681723518104,8.33169851,3.8552951897358003,2.91,12.34,-12.34,Jogging
525_45,-320.28000000000003,-3.01,-3.2028000000000003,100.0,4.460210102674537,19.893474160000004,5.491029229570718,7.5,14.75,-14.75,823.63,7.855,8.2363,100.0,7.4323160125226115,55.23932131000001,11.093960474059749,19.57,19.57,-5.94,-248.52,-2.03,-2.4852000000000003,100.0,2.6087270765643535,6.805456959999998,3.603009297795386,2.03,10.0,-10.0,Jogging
525_46,822.73,8.08,8.2273,100.0,3.981549661877897,15.852737709999996,9.140087691045421,18.96,18.96,-2.72,388.11,3.3,3.8811,100.0,2.7483623833111963,7.55349579,4.755673769299151,13.29,13.29,-2.11,147.01803815000002,1.1645397499999999,1.4701803815000003,100.0,4.371941861011802,19.11387563606734,4.6125162319730455,16.208214,16.208214,-11.073342,Upstairs
525_47,-896.01,-8.58,-8.9601,100.0,3.346282861624223,11.197608989999999,9.564570089659023,-3.68,16.85,-16.85,236.54,2.05,2.3653999999999997,100.0,2.6506442311257086,7.0259148399999996,3.552609181995678,7.55,7.55,-4.37,48.43395619,0.13620348,0.48433956190000005,100.0,2.37907150603751,5.659981230839586,2.4278727400877234,8.390134,8.390134,-3.6774938,Walking
525_48,534.7900000000001,5.029999999999999,5.347900000000001,100.0,2.5308458250158186,6.405180589999999,5.916520514626819,11.56,11.56,1.14,804.6899999999999,8.18,8.046899999999999,100.0,2.5611222911059905,6.559347389999999,8.444640134428465,15.02,15.02,2.41,133.138899094,1.0896278499999998,1.33138899094,100.0,2.8743118769119747,8.261668765757237,3.167690864171166,9.343558,9.343558,-4.0180025,Walking
525_49,-48.820000000000014,-0.02,-0.48820000000000013,100.0,3.03209082317796,9.19357476,3.071142132822901,9.08,9.08,-8.88,1010.72,10.73,10.1072,100.0,4.519789614572785,20.42849816,11.071765441879629,17.58,17.58,1.5,5.325557206000003,-1.0760075,0.05325557206000003,100.0,3.0788271956596565,9.479176900733504,3.079287751524522,11.985906,11.985906,-4.140586,Walking
525_50,-169.61999999999998,-1.5350000000000001,-1.6961999999999997,100.0,2.37230258609647,5.627819559999999,2.916318569703934,5.48,9.38,-9.38,932.8000000000001,8.504999999999999,9.328000000000001,100.0,4.082190343430841,16.664278000000003,10.182134452068485,19.57,19.57,-0.27,45.83247034,0.0,0.4583247034,100.0,2.719441100908068,7.395359901308084,2.757792855719005,11.264028,11.264028,-4.944186,Upstairs
525_51,-213.34000000000003,-2.09,-2.1334000000000004,100.0,3.299325452270509,10.88554844,3.928987655872693,7.82,12.95,-12.95,983.7700000000001,9.885000000000002,9.837700000000002,100.0,4.2098807239635665,17.723095710000003,10.700627878774219,18.85,18.85,2.03,21.86065775000001,-0.388179915,0.2186065775000001,100.0,3.522487031491582,12.40791488702638,3.5292639066457814,12.299174,12.299174,-9.043911,Walking
525_52,-66.35,-0.19,-0.6635,100.0,2.6175554912933556,6.8515967500000015,2.700338682461887,4.67,9.11,-9.11,1017.08,10.8,10.1708,100.0,4.312204930195224,18.59511136,11.047184437674604,19.31,19.31,1.57,0.14982433000000495,-0.78317,0.0014982433000000496,100.0,2.8943734998605803,8.377397956695185,2.894373887635834,8.730643,8.730643,-4.440233,Walking
525_53,-172.56,-1.57,-1.7256,100.0,2.5685818343981177,6.5976126399999995,3.0943994570837163,4.52,9.53,-9.53,932.3299999999999,8.83,9.3233,100.0,3.9122540957867247,15.305732110000001,10.110868162526895,19.57,19.57,0.99,38.35489893,0.49714268500000003,0.3835489893,100.0,3.0335818143813253,9.202618624545094,3.057732567072887,12.067628,12.067628,-7.7363577,Upstairs
525_54,600.2099999999999,5.94,6.0020999999999995,100.0,2.329519819619485,5.4266625899999985,6.438312434170929,12.68,12.68,1.69,771.56,8.024999999999999,7.715599999999999,100.0,2.785790128491376,7.760626639999999,8.203115871423492,13.21,13.21,2.22,132.539605466,-0.11577296,1.32539605466,100.0,3.5750098487849415,12.780695418909332,3.812790332632733,14.09706,14.09706,-3.0237172,Walking
525_55,-157.97,-1.46,-1.5796999999999999,100.0,2.055564377488577,4.2253449100000005,2.5924499995178305,2.76,7.74,-7.74,1008.8199999999999,10.23,10.088199999999999,100.0,3.2637920828386107,10.652338759999997,10.603024002613594,17.31,17.31,4.06,-1.8251259400000004,-1.03514645,-0.018251259400000004,100.0,3.470273890702421,12.042800876490919,3.47032188492085,9.997335,9.997335,-5.7477865,Walking
525_56,-171.06000000000003,-1.46,-1.7106000000000003,100.0,2.897257951926269,8.394103639999999,3.364558812088147,5.41,8.73,-8.73,999.11,9.695,9.9911,100.0,3.6436198745203927,13.27596579,10.63475646171552,17.97,17.97,2.91,-45.873330425999995,-0.9942854,-0.45873330426,100.0,3.1698554501513065,10.047983574853943,3.2028768036393847,9.384419,9.384419,-8.580819,Walking
525_57,-56.63000000000001,-0.4,-0.5663000000000001,100.0,3.686016998061729,13.586721310000003,3.729264940976975,7.55,11.07,-11.07,857.5100000000001,8.235,8.5751,100.0,7.811475596198198,61.01915099,11.599633226960238,19.57,19.57,-5.75,-136.18978419,-1.0150000000000001,-1.3618978419,100.0,3.059523638982998,9.360684897495767,3.3489476898374573,4.56,12.37,-12.37,Jogging
525_58,566.0,5.26,5.66,100.0,2.3248083792003156,5.404733999999999,6.118850709079279,13.44,13.44,1.08,803.76,8.43,8.0376,100.0,2.575892513285444,6.635222240000001,8.440274640081329,13.63,13.63,2.18,115.29624473,0.313268,1.1529624473,100.0,3.0832553236536544,9.5064633908386,3.2917754777205888,12.789507,12.789507,-2.982856,Walking
525_59,-481.3,-4.365,-4.813,100.0,5.894089666776372,34.740293,7.609550709470303,6.32,17.67,-17.67,771.86,6.795,7.7186,100.0,6.282858747417452,39.47431404,9.952441911410485,19.57,19.57,-3.21,-89.67999999999999,-0.835,-0.8967999999999999,100.0,4.41264974363477,19.47147776,4.502857759245789,7.5,14.48,-14.48,Jogging
525_60,-285.05999999999995,-3.34,-2.8505999999999996,100.0,3.5526293980656076,12.62117564,4.55489802300776,4.48,12.41,-12.41,858.7199999999999,9.075,8.5872,100.0,7.0961320562684005,50.35509016,11.139797753998948,19.38,19.38,-1.95,-231.79999999999998,-1.5150000000000001,-2.3179999999999996,100.0,2.952202228845443,8.715498,3.753481317390563,1.61,12.98,-12.98,Jogging
525_61,-419.51000000000005,-4.33,-4.1951,100.0,5.137264738165633,26.391488990000006,6.63252237086314,4.52,15.6,-15.6,749.7999999999998,6.975,7.497999999999998,100.0,6.695372431762106,44.828012000000015,10.05226422255205,19.57,19.57,-4.67,-233.8,-1.63,-2.338,100.0,2.768614816112924,7.665227999999998,3.623737297321648,1.57,11.88,-11.88,Jogging
525_62,-437.16999999999996,-4.0,-4.3717,100.0,3.1847480449793824,10.14262011,5.408731921624513,5.28,15.43,-15.43,903.5699999999999,8.73,9.035699999999999,100.0,3.999454026489116,15.99563251,9.881270515475224,18.54,18.54,-1.92,69.70893980599998,1.01471595,0.6970893980599997,100.0,2.942802383100335,8.66008586598101,3.024238663675316,9.575105,9.575105,-7.8589406,Upstairs
525_63,-250.69999999999996,-1.4,-2.5069999999999997,100.0,4.1363934774148365,17.109751000000003,4.8368171352657106,6.78,11.8,-11.8,795.3199999999999,7.99,7.953199999999999,100.0,6.8954966289600925,47.547873759999995,10.526217934281998,19.57,19.57,-4.33,-262.05999999999995,-1.71,-2.6205999999999996,100.0,2.951443992353573,8.711021639999998,3.946969217006892,2.26,11.41,-11.41,Jogging
525_64,-567.3199999999998,-4.615,-5.673199999999998,100.0,6.124166535945932,37.50541576,8.348090440334245,3.87,18.43,-18.43,484.57,3.79,4.8457,100.0,5.462177817501002,29.835386510000006,7.301793957651777,18.31,18.31,-4.29,-436.23,-3.985,-4.3623,100.0,5.242689930751198,27.48579771,6.820224263174929,8.92,16.85,-16.85,Jogging
525_65,-250.84,-2.545,-2.5084,100.0,3.6229324365767575,13.12563944,4.406553074683204,7.12,12.76,-12.76,837.45,9.365,8.374500000000001,100.0,7.161247988304832,51.28347275000001,11.018880297017478,19.34,19.34,-4.52,-252.82,-1.915,-2.5282,100.0,2.6624144605977484,7.08845076,3.67154545116903,1.95,10.95,-10.95,Jogging
525_66,604.41,5.79,6.044099999999999,100.0,3.7381830064885797,13.974012189999998,7.106698037766907,15.66,15.66,-1.5,706.42,6.51,7.0642,100.0,2.75107621850068,7.568420360000001,7.580985555981492,18.09,18.09,3.11,125.82477241200002,0.6946377,1.25824772412,100.0,3.856315125323994,14.87116634580261,4.056396637541227,10.18802,10.18802,-5.47538,Upstairs
525_67,-79.29999999999998,-0.36,-0.7929999999999998,100.0,2.2791101333634582,5.194343,2.413129088963125,3.38,8.24,-8.24,1004.55,9.77,10.045499999999999,100.0,3.380058690318853,11.42479675,10.598908764585154,17.88,17.88,3.68,-1.5390994700000007,-1.01471595,-0.015390994700000007,100.0,3.4167019637131304,11.673852308841163,3.416736628942743,9.915613,9.915613,-6.238119,Walking
525_68,626.5899999999999,5.96,6.265899999999999,100.0,2.333061120073797,5.443174190000001,6.686155621880185,11.92,11.92,2.6,770.4399999999999,8.085,7.7044,100.0,2.601136797632912,6.765912640000002,8.131647557537157,13.06,13.06,2.87,122.13365703800001,-0.061291567,1.22133657038,100.0,3.214189116676488,10.331011677761582,3.438411653061507,15.431854,15.431854,-3.2961242,Walking
